127.0.0.1 - - [15/Mar/2018:08:46:24 +0700] "HEAD / HTTP/1.1" 500 -
127.0.0.1 - - [15/Mar/2018:08:46:29 +0700] "GET / HTTP/1.1" 500 35206
127.0.0.1 - - [15/Mar/2018:08:46:29 +0700] "GET /favicon.ico HTTP/1.1" 200 -
127.0.0.1 - - [15/Mar/2018:08:47:02 +0700] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [15/Mar/2018:08:47:02 +0700] "GET /favicon.ico HTTP/1.1" 200 -
127.0.0.1 - - [15/Mar/2018:08:47:05 +0700] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [15/Mar/2018:08:47:15 +0700] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [15/Mar/2018:08:47:15 +0700] "GET /favicon.ico HTTP/1.1" 200 -
127.0.0.1 - - [15/Mar/2018:08:47:16 +0700] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [15/Mar/2018:08:47:17 +0700] "GET /favicon.ico HTTP/1.1" 200 -
127.0.0.1 - - [15/Mar/2018:08:47:18 +0700] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [15/Mar/2018:08:47:35 +0700] "-" 408 -
127.0.0.1 - - [15/Mar/2018:08:47:35 +0700] "-" 408 -
127.0.0.1 - - [15/Mar/2018:08:48:39 +0700] "GET / HTTP/1.1" 200 7152
127.0.0.1 - - [15/Mar/2018:08:48:39 +0700] "GET /admin-lte/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 31000
127.0.0.1 - - [15/Mar/2018:08:48:39 +0700] "GET /admin-lte/dist/css/skins/skin-blue.min.css HTTP/1.1" 200 3037
127.0.0.1 - - [15/Mar/2018:08:48:39 +0700] "GET /admin-lte/plugins/iCheck/all.css HTTP/1.1" 200 1568
127.0.0.1 - - [15/Mar/2018:08:48:39 +0700] "GET /admin-lte/ionicons/css/ionicons.min.css HTTP/1.1" 200 51284
127.0.0.1 - - [15/Mar/2018:08:48:39 +0700] "GET /admin-lte/tag/bootstrap-tagsinput.css HTTP/1.1" 200 1317
127.0.0.1 - - [15/Mar/2018:08:48:39 +0700] "GET /admin-lte/css/style.css?v=1.0.2 HTTP/1.1" 200 2511
127.0.0.1 - - [15/Mar/2018:08:48:39 +0700] "GET /admin-lte/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121200
